SAMPLE;TISSUE;LIPID_TYPE;REPROD_STAGE;FAD;TRIP;SIZE_GROUP;C14;C15;C16;C16_1w9;C16_1w7;C17;C17_1w7;C18;C18_1w9;C18_1w7;C18_2w6;C18_3w3;C20;C20_1w9;C20_2w6;C20_3w6;C20_4w6;C20_3w3;C20_5w3;C22_4w6;C22_5w6;C22_5w3;C22_6w3;C24_1w9;DHA/EPA;PUFA,,,,,,,,,,,,,,,,,,,,,,,,,,
YG_01;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,09;3,58;0,15;2,41;17,41;1,64;1,39;18,08;0,39;7,502074689;45,97
YG_02;Gonad;2;Spawning;2;2;4;1,,,,,,,,,,,,,,,,07;1,36;0,09;1,02;30,3;0,9;0,6;7,44;0,16;7,294117647;42,57
YG_06;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,13;5,72;0,2;4,29;6,57;1,58;1,23;35,66;0,57;8,312354312;56,62
YG_07;Gonad;2;Spawning;2;2;4;1;0,,,,,,,,,,,,,,,,76;0,13;3,19;10,95;1,62;0,7;22,42;0,52;7,028213166;46,6,
YG_09;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,13;4,26;0,23;3,09;8,3;1,76;1,16;25,31;0,54;8,190938511;45,65
YG_102;Gonad;2;Pre-Spawning;1;1;1;0,,,,,,,,,,,,,,,,1;6,76;0,1;3,77;1,08;1,58;0,75;31,58;0,08;8,376657825;46,99
YG_11;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,1;7,19;0,11;3,5;3,56;2,01;1,3;23,41;0,74;6,688571429;42,82
YG_12;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,88;0,08;3,14;14,16;2,01;1,49;27,99;0,42;8,914012739;56,87,
YG_16;Gonad;2;Spawning;2;1;3;0,,,,,,,,,,,,,,,,05;2,04;0,06;1,1;6,9;0,8;0,27;11,84;0,04;10,76363636;24,17
YG_17;Gonad;2;Spawning;2;1;3;0,,,,,,,,,,,,,,,,06;3,3;0,08;3,68;12,99;1,05;0,24;23,07;0,14;6,269021739;45,65
YG_19;Gonad;2;Post-Spawning;2;1;3;0,,,,,,,,,,,,,,,,13;4,22;0,12;3,45;11,36;1,66;0,9;28,17;0,05;8,165217391;51,38
YG_20;Gonad;2;Post-Spawning;2;1;4;0,,,,,,,,,,,,,,,,09;8,48;0,1;4,41;5,82;1,95;0,93;31,64;0,06;7,174603175;54,3
YG_22;Gonad;2;Post-Spawning;2;1;4;0,,,,,,,,,,,,,,,,11;4,87;0,1;3,11;4,76;3,38;0,72;41,42;0,04;13,31832797;59,4
YG_23;Gonad;2;Spawning;2;2;3;1,,,,,,,,,,,,,,,,28;0,12;3,81;14,42;2;1,27;25,93;0,48;6,805774278;56,7,,
YG_24;Gonad;2;Spawning;2;2;4;0,,,,,,,,,,,,,,,,09;5,65;0,16;4,31;6,47;1,67;1,51;27,61;0,09;6,406032483;48,56
YG_26;Gonad;2;Spawning;1;1;2;0,,,,,,,,,,,,,,,,13;10,24;0,16;4,95;1,94;2,76;1,21;50,5;0,23;10,2020202;72,86
YG_29;Gonad;2;Spawning;1;2;3;0,,,,,,,,,,,,,,,,11;3,09;0,14;2,35;11,67;1,6;1,15;19,97;0,15;8,49787234;41,22
YG_35;Gonad;2;Pre-Spawning;1;2;3;0,,,,,,,,,,,,,,,,04;5,39;0,04;2,03;5,41;1,41;0,87;18,17;0,25;8,950738916;35,22
YG_38;Gonad;2;Pre-Spawning;1;2;3;0,,,,,,,,,,,,,,,,97;0,27;4,46;9,54;2,17;1,76;24,24;0,31;5,434977578;47,74,
YG_39;Gonad;2;Spawning;1;2;3;1,18;0,75;27,03;1,47;1,69;1,16;0,09;8,79;7,24;1,53;0,92;3,93;0,17;0,27;0,56;0,04;7,67;0,15;6,63;0,15;2,96;1,07;24,28;0,3;3,66214178;48,36
YG_41;Gonad;2;Spawning;1;2;3;0,26;0,13;19,24;0,52;1,7;0,42;0,2;8,64;21,2;2,57;0,56;0,14;0,05;0,89;0,21;0,06;3,1;0,17;3,54;11,27;2,05;1,02;21,63;0,44;6,110169492;43,75
YG_57;Gonad;2;Post-Spawning;2;3;3;0,73;6,97;18,84;0,43;1,47;0,63;1,67;7,28;12,92;1,47;0,74;0,35;1,32;0,37;0,23;0,23;5,68;0,14;3,05;0,39;4,25;0,83;29,73;0,28;9,747540984;45,62
YG_61;Gonad;2;Post-Spawning;1;3;3;0,5;5;19,92;0,42;0,76;0,54;1,58;6,45;10,51;1,09;0,6;0,19;0,19;0,4;0,17;0,14;6,01;0,1;3,31;0,23;3,79;0,7;37,37;0,02;11,29003021;52,61,
YG_62;Gonad;2;Post-Spawning;2;3;3;0,87;4,17;20,4;0,22;1,12;0,69;1,93;8,8;11,67;1,21;1,15;0,57;0,36;0,67;0,4;0,25;5,91;0,08;3,59;9,8;3,42;0,64;21,75;0,31;6,058495822;47,56
YG_73;Gonad;2;Post-Spawning;1;3;3;0,84;6,05;20,39;0,39;0,73;0,59;1,41;8,33;10,96;1,06;0,78;0,27;0,14;0,42;0,21;0,13;6,15;0,08;2,57;0,49;4,44;0,62;32,52;0,41;12,6536965;48,26
YG_74;Gonad;2;Post-Spawning;1;3;3;0,54;3,51;22,48;0,46;1,14;0,81;1,52;9,19;9,99;1,24;0,65;0,34;0,12;0,35;0,18;0,11;5,32;0,1;2,95;1,87;3,52;0,6;32,82;0,16;11,12542373;48,46
YG_77;Gonad;2;Post-Spawning;2;3;3;0,91;3,43;28,41;0,31;1,32;0,89;1,2;9,48;13,02;1,8;0,59;0,35;0,1;0,44;0,25;0,11;3,16;0,1;1,6;0,32;3,02;0,61;28,38;0,21;17,7375;38,49
YG_80;Gonad;2;Pre-Spawning;2;3;1;0,47;4,18;18,23;0,31;0,69;0,48;1,01;9,62;11,57;1,35;0,56;0,26;0,08;0,22;0,22;0,13;4,78;0,08;2,21;0,29;3,88;0,63;38,63;0,12;17,47963801;51,67
YG_81;Gonad;2;Pre-Spawning;1;2;1;0,57;4,71;19,83;0,38;0,8;0,52;1,15;7,84;13,12;1,41;0,65;0,22;0,09;0,36;0,24;0,12;4,73;0,09;2,15;0,31;3,94;0,62;36;0,16;16,74418605;49,7,
YG_82;Gonad;2;Pre-Spawning;2;3;1;0,85;8,1;26,31;1,14;1,02;0,77;3,24;10,92;9,37;1,36;0,57;0,43;0,16;0,37;0,17;0,11;3,6;0,12;1,96;4,93;2,4;0,47;21,11;0,52;10,77040816;35,87
YG_84;Gonad;2;Pre-Spawning;1;1;2;0,57;4,72;24,49;0,49;1,18;0,68;1,43;7,4;15,17;1,47;0,55;0,32;0,08;0,38;0,25;0,12;5,05;0,1;2,1;2,97;3,33;0,59;26,27;0,29;12,50952381;41,65
YG_90;Gonad;2;Pre-Spawning;1;1;2;0,53;2,88;24,92;0,46;0,87;0,68;1,1;9,14;10,76;1,07;0,52;0,32;0,08;0,27;0,2;0,11;4,45;0,09;1,83;6,31;3,71;0,56;25,05;0,19;13,68852459;43,15
